rep,trial,column,sigma
20,3,peak_15,0.42302760318343086
20,3,peak_16,0.4202809669502725
20,3,delta_f_mhz_b01,0.042400720322349
20,3,delta_f_mhz_b02,0.030572593465975115
20,3,delta_f_mhz_b03,0.10146239073981639
20,3,delta_f_mhz_b04,0.09826127042536029
20,3,delta_f_mhz_b05,0.09081472855328449
20,3,delta_f_mhz_b06,0.12376302538461698
20,3,delta_f_mhz_b07,0.02953612070754514
20,3,delta_f_mhz_b08,0.04212817680926847
20,3,delta_Bx_uT,0.9065506907804338
20,3,delta_By_uT,2.9711011986868083
20,3,delta_Bz_uT,1.1328589551108617
20,3,delta_B_mag_uT,2.1264000561029683
30,1,peak_01,0.4754127708050961
30,1,peak_02,0.4949535536776207
30,1,peak_03,0.5042369258149009
30,1,peak_04,0.5220251261330205
30,1,peak_05,0.5255256790081176
30,1,peak_06,0.5176039774520197
30,1,peak_07,0.4961448290862383
30,1,peak_08,0.4771033639915204
30,1,peak_09,0.464225406712125
30,1,peak_10,0.46210823953264657
30,1,peak_11,0.45591921480057657
30,1,peak_12,0.45583684368826416
30,1,peak_13,0.4640406405868928
30,1,peak_14,0.4626699122548548
30,1,peak_15,0.46202045289450255
30,1,peak_16,0.46067983276750635
30,1,delta_f_mhz_b01,0.05720893116870197
30,1,delta_f_mhz_b02,0.04185793996422787
30,1,delta_f_mhz_b03,0.12217313475054797
30,1,delta_f_mhz_b04,0.13357666181529515
30,1,delta_f_mhz_b05,0.11272693895142326
30,1,delta_f_mhz_b06,0.144350513957637
30,1,delta_f_mhz_b07,0.03818559731734847
30,1,delta_f_mhz_b08,0.051406773164045974
30,1,delta_Bx_uT,1.2025304117418871
30,1,delta_By_uT,3.864446611961785
30,1,delta_Bz_uT,1.200694078089012
30,1,delta_B_mag_uT,2.9555208652280434
30,2,peak_01,0.5234024491958329
30,2,peak_02,0.5437712656999703
30,2,peak_03,0.5395554793890779
30,2,peak_04,0.5278365140261913
30,2,peak_05,0.520828620824417
30,2,peak_06,0.49931031773046725
30,2,peak_07,0.49843778366047603
30,2,peak_08,0.49854089734366075
30,2,peak_09,0.48868959987120186
30,2,peak_10,0.4922390794650134
30,2,peak_11,0.489603619251943
30,2,peak_12,0.4914741032405458
30,2,peak_13,0.4973847538270766
30,2,peak_14,0.5049855209585888
30,2,peak_15,0.49803524834521173
30,2,peak_16,0.5091056189554449
30,2,delta_f_mhz_b01,0.05899593868387827
30,2,delta_f_mhz_b02,0.036312168981358355
30,2,delta_f_mhz_b03,0.14324608733106334
30,2,delta_f_mhz_b04,0.1257772353253914
30,2,delta_f_mhz_b05,0.12588777638664783
30,2,delta_f_mhz_b06,0.15570746525804122
30,2,delta_f_mhz_b07,0.036638170729695045
30,2,delta_f_mhz_b08,0.059977984513779656
30,2,delta_Bx_uT,1.248869071498437
30,2,delta_By_uT,3.7528611486076917
30,2,delta_Bz_uT,1.2795442793119185
30,2,delta_B_mag_uT,2.5438941868740956
30,3,peak_01,0.4737919792807047
30,3,peak_02,0.514209505186017
30,3,peak_03,0.5093863399116884
30,3,peak_04,0.5270789643344634
30,3,peak_05,0.5301331149983649
30,3,peak_06,0.5225411605587218
30,3,peak_07,0.5138418540422751
30,3,peak_08,0.5117477814063628
30,3,peak_09,0.5134111053089908
30,3,peak_10,0.5027499745481914
30,3,peak_11,0.5148690744077643
30,3,peak_12,0.5017170705268619
30,3,peak_13,0.4875365340988667
30,3,peak_14,0.4776417950528588
30,3,peak_15,0.4649431238526191
30,3,peak_16,0.4565108857274459
30,3,delta_f_mhz_b01,0.056065568112780205
30,3,delta_f_mhz_b02,0.04372727917994282
30,3,delta_f_mhz_b03,0.124023925179897
30,3,delta_f_mhz_b04,0.14166193190984355
