batch,sample,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
34,0,0.40551544999470934,1786042458.6155293,0.011412499996367842,-1969.4447727614022,2809.1916999043146,-1969.4447727614022,False,-1966.9355905917814,2817.191696852557,-1966.9355905917814,False,-0.9621562298142851,-0.9609303892679394,0.001225840546345669,-0.2277039310226114,-227.7039310226114,2812.951858574883,-8.125318691928754
35,0,0.41789510000671726,1786042458.6285238,0.013274199998704717,-1964.7881569347671,2809.1916999043146,-1964.7881569347671,False,-1972.4833605983329,2817.191696852557,-1972.4833605983329,False,-0.9598812780159838,-0.9636407071947,-0.0037594291787161893,0.6811331421306968,681.1331421306968,2813.860695648036,24.30535048996206
36,0,0.43027615001483355,1786042458.6405299,0.011400099989259616,-1966.9839466518533,2809.1916999043146,-1966.9839466518533,False,-1966.3494320862308,2817.191696852557,-1966.3494320862308,False,-0.9609540132278954,-0.9606440262962154,0.00030998693168005076,-0.06073970150356565,-60.73970150356565,2813.1188228044016,-2.1674172674695136
37,0,0.44169760000659153,1786042458.6515465,0.011343399994075298,-1968.9470159776,2809.1916999043146,-1968.9470159776,False,-1971.9572579605601,2817.191696852557,-1971.9572579605601,False,-0.9619130547849105,-0.9633836840288537,-0.0014706292439431445,0.2638746288560102,263.8746288560102,2813.4434371347616,9.416023010848209
38,0,0.4528408500045771,1786042458.6620579,0.010817499976838008,-1967.4908756383802,2809.1916999043146,-1967.4908756383802,False,-1967.8838378133426,2817.191696852557,-1967.8838378133426,False,-0.9612016692623302,-0.9613936477376601,-0.00019197847532992363,0.03077084787307686,30.77084787307686,2813.2103333537784,1.098017694585957
39,0,0.46527870000863913,1786042458.6760619,0.013978400005726144,-1969.86556516955,2809.1916999043146,-1969.86556516955,False,-1973.8052601293568,2817.191696852557,-1973.8052601293568,False,-0.9623618045237451,-0.9642865104619731,-0.0019247059382280218,0.3466548507056668,346.65485070566683,2813.526217356611,12.36992758727044
40,0,0.4782207499956712,1786042458.6880581,0.011825299996417016,-1972.4130986284217,2809.1916999043146,-1972.4130986284217,False,-1975.5874110122254,2817.191696852557,-1975.5874110122254,False,-0.9636063812806129,-0.9651571657848014,-0.0015507845041884405,0.27848729299190556,278.4872929919056,2813.4580497988973,9.93745692948564
41,0,0.4900890499993693,1786042458.7000537,0.011810099997092038,-1982.4734149644316,2809.1916999043146,-1982.4734149644316,False,-1980.0586279437232,2817.191696852557,-1980.0586279437232,False,-0.968521267024285,-0.967341542460396,0.0011797245638889287,-0.2192967801896536,-219.2967801896536,2812.9602657257155,-7.825320446390722
42,0,0.5018940000154544,1786042458.712058,0.011612600006628782,-1968.1293477264173,2809.1916999043146,-1968.1293477264173,False,-1969.939932836406,2817.191696852557,-1969.939932836406,False,-0.9615135896094065,-0.9623981362426903,-0.0008845466332838559,0.1570291352571601,157.0291352571601,2813.3365916411626,5.603380504466176
43,0,0.513705100005609,1786042458.7240548,0.011913399997865781,-1983.561034617025,2809.1916999043146,-1983.561034617025,False,-1981.125523760417,2817.191696852557,-1981.125523760417,False,-0.9690526147619236,-0.9678627657365153,0.0011898490254083072,-0.22114251502086396,-221.14251502086395,2812.9584199908845,-7.891183093807592
