batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_01_raw,peak_01_ref_raw,peak_01_spike_sig,peak_01_spike_ref,peak_02,peak_02_ref,peak_02_freq_mhz,peak_02_raw,peak_02_ref_raw,peak_02_spike_sig,peak_02_spike_ref,z_minus,z_plus,lockin_signal,f0_mhz,delta_f_mhz,peak_shift_kHz,delta_f_linear_mhz,peak_shift_linear_kHz,B_shift_nT,B_shift_linear_nT
186,19.127332479460165,1785869713.516643,0.010857708984985948,-5584.176775071065,-5570.07051685668,2930.2169026906186,-5584.176775071065,-5570.07051685668,False,False,-5626.306007580157,-5609.938136137176,2936.2169004017996,-5626.306007580157,-5609.938136137176,False,False,-1.0025325098078552,-1.0029176563173745,-0.000385146509519263,2933.4620731938185,0.24517168830561786,245.17168830561786,0.04062166541669718,40.62166541669718,8748.632897003206,1449.5313094739215
187,19.23055477143498,1785869713.619222,0.009595875046215951,-5587.4163156768645,-5570.651324999236,2930.2169026906186,-5587.4163156768645,-5570.651324999236,False,False,-5625.939389308311,-5614.236823364,2936.2169004017996,-5625.939389308311,-5614.236823364,False,False,-1.0030095207363623,-1.002084444656059,0.0009250760803032332,2932.5742597017233,-0.6426418037895019,-642.6418037895019,-0.09756840602319129,-97.56840602319129,-22931.83713208328,-3481.601699371656
188,19.332576896471437,1785869713.7212539,0.009597875061444938,-5586.094975089402,-5570.07051685668,2930.2169026906186,-5600.787766298867,-5588.0096127395545,True,True,-5625.191534981814,-5616.9532062841945,2936.2169004017996,-5640.254473209647,-5633.241044411163,True,True,-1.0028768860617163,-1.001466689928697,0.0014101961330192925,2932.0004106328433,-1.2164908726695103,-1216.4908726695103,-0.14873434932358642,-148.73434932358643,-43408.89497107873,-5307.391854253012
189,19.43371881247731,1785869713.8224158,0.009658625000156462,-5588.120697191062,-5572.436349604182,2930.2169026906186,-5588.120697191062,-5572.436349604182,False,False,-5626.73206742672,-5619.342277714949,2936.2169004017996,-5626.73206742672,-5619.342277714949,False,False,-1.0028146301909746,-1.0013150631064205,0.001499567084554121,2931.8241363618854,-1.3927651436274573,-1392.7651436274573,-0.15816036462295774,-158.16036462295773,-49699.01311830778,-5643.746953431263
190,19.535844124970026,1785869713.924407,0.009390749968588352,-5586.753516520464,-5572.770579515237,2930.2169026906186,-5586.753516520464,-5572.770579515237,False,False,-5627.73747287343,-5619.425153589876,2936.2169004017996,-5627.73747287343,-5619.425153589876,False,False,-1.0025091535360573,-1.001479211673145,0.0010299418629122759,2932.2720091587935,-0.9448923467193708,-944.8923467193708,-0.10862867173903937,-108.62867173903936,-33717.25473591817,-3876.272899623157
191,19.664045875426382,1785869714.053302,0.010786833008751273,-5587.4163156768645,-5564.390090778494,2930.2169026906186,-5575.274944218601,-5564.390090778494,True,False,-5626.306007580157,-5612.5725204022365,2936.2169004017996,-5611.6129840755575,-5612.5725204022365,True,False,-1.0041381399439502,-1.0024469148733486,0.0016912250706015985,2932.296464427875,-0.920437077637871,-920.437077637871,-0.17837466331514729,-178.37466331514727,-32844.60025827401,-6365.067917326123
192,19.767904625448864,1785869714.157341,0.011137833003886044,-5586.753516520464,-5567.7514732402105,2930.2169026906186,-5576.978505058532,-5567.7514732402105,True,False,-5625.3322798545105,-5618.752246538496,2936.2169004017996,-5625.3322798545105,-5618.752246538496,False,False,-1.0034128756234146,-1.0011710844378425,0.002241791185572106,2931.1525837535883,-2.064317751924591,-2064.317751924591,-0.23644324750164317,-236.44324750164316,-73662.49471612157,-8437.169836627289
193,19.86939770844765,1785869714.258177,0.009836083045229316,-5589.129119418039,-5576.935923220344,2930.2169026906186,-5589.129119418039,-5576.935923220344,False,False,-5620.9060060519,-5617.551271510224,2936.2169004017996,-5620.9060060519,-5617.551271510224,False,False,-1.002186361178533,-1.0005971880592688,0.00158917311926432,2930.3220035921927,-2.8948979133201647,-2894.8979133201647,-0.16761117430539885,-167.61117430539883,-103300.66776049687,-5980.986807928876
194,19.971034688001964,1785869714.3597062,0.009626207989640534,-5587.240029648196,-5573.735860561787,2930.2169026906186,-5587.240029648196,-5573.735860561787,False,False,-5629.324011981538,-5609.749159458385,2936.2169004017996,-5629.324011981538,-5609.749159458385,False,False,-1.0024228218602822,-1.0034894345480936,-0.0010666126878113857,2933.8517665443087,0.6348650387958514,634.8650387958514,0.1124963686873943,112.4963686873943,22654.33338552139,4014.286636004649
195,20.07375002146,1785869714.4625611,0.009910374996252358,-5586.753516520464,-5572.436349604182,2930.2169026906186,-5574.995488583916,-5556.325083290032,True,True,-5625.939389308311,-5617.422416480729,2936.2169004017996,-5609.427938075007,-5599.806106916893,True,True,-1.0025692831677293,-1.001516170975961,0.0010531121917682906,2932.275033123051,-0.941868382461962,-941.868382461962,-0.11107246214898198,-111.07246214898197,-33609.34850349565,-3963.476382707036
196,20.180566562979948,1785869714.569489,0.01012620807159692,-5589.616971299324,-5572.436349604182,2930.2169026906186,-5589.616971299324,-5563.3684292569615,False,True,-5624.645572638078,-5624.103912339151,2936.2169004017996,-5624.645572638078,-5624.103912339151,False,False,-1.0030831436408174,-1.0000963105069482,0.00298683313386916,,,,-0.31502333065746163,-315.02333065746166,,-11241.19792525912
197,20.282861416984815,1785869714.671773,0.010113834054209292,-5581.263823088915,-5570.651324999236,2930.2169026906186,-5581.263823088915,-5561.878841275177,False,True,-5621.916497539505,-5614.739924198429,2936.2169004017996,-5621.916497539505,-5614.739924198429,False,False,-1.0019050731181207,-1.0012781666538366,0.0006269064642840938,2932.5007482610617,-0.7161532444511067,-716.1532444511067,-0.06612025296969284,-66.12025296969284,-25554.99730413598,-2359.4152501317744
