time_s,z_minus,z_plus,lockin_signal,f0_mhz,peak_shift_kHz,peak_shift_linear_kHz,B_shift_nT
7.982264458551072,-1.0037495542644772,-1.0021933886605303,0.0015561656039468,2932.2736755718665,-943.2259336463176,-164.12984912050285,-33657.79095226654
8.082966042042244,-1.001699897342531,-1.0002439432878265,0.0014559540547045,,,-153.56046857671578,
8.183893292036373,-1.0046559100338806,-1.0003149937969185,0.004340916236962,,,-457.8394003890239,
8.283747938054148,-1.0024326347252437,-1.001635586445637,0.0007970482796066,2932.514335929753,-702.5655757597633,-84.06522643983251,-25070.13901512144
8.379633146047127,-1.0040337798970296,-1.0022250877099823,0.001808692187047,2932.1670589908276,-1049.8425146852242,-190.76400031752112,-37462.2650116052
8.475706146040466,-1.002501237799852,-1.0013849892710374,0.0011162485288147,2932.152548003476,-1064.353502036738,-117.73149473983813,-37980.07072640373
8.571194146526977,-1.0025359648239875,-1.0010491494397182,0.0014868153842693,2931.5552875371604,-1661.6139683524125,-156.81543408441746,-59292.53384072268
8.701218563015573,-1.004470317113804,-1.000633557811041,0.0038367593027628,,,-404.6656241962716,
8.796209458552767,-1.0037094404381623,-0.9989606293777892,0.0047488110603731,,,-500.8603460092443,
8.893056396045722,-1.0027128473224738,-1.0011929338284846,0.0015199134939891,2931.694722773513,-1522.178731999702,-160.3063143228138,-54316.96874106844
8.988418084045406,-1.002920744197519,-1.0009057923270797,0.0020149518704393,2930.854342077769,-2362.5594277436903,-212.51835000172903,-84304.86110989474
9.082954313023947,-1.0030162989730418,-1.001415244961913,0.0016010540111288,2931.8378672794397,-1379.034226073145,-168.86426008508587,-49209.0431798867
9.179535854549613,-1.0036536716147444,-1.0006305647564715,0.0030231068582728,,,-318.84914514553424,
9.275698750512674,-1.001249927370734,-1.0008317210862685,0.0004182062844657,2932.460068049588,-756.8334559250616,-44.10850246055212,-27006.617753534883
9.371176854532678,-1.0025679418054452,-1.0018025215283053,0.0007654202771398,2932.5941083726684,-622.7931328444356,-80.7293994175083,-22223.56311891363
9.467888396058695,-1.00152220495328,-1.0002948014134765,0.0012274035398038,,,-129.4550896685213,
9.589333521027584,-1.0029380098099625,-0.999048556045969,0.0038894537639933,,,-410.2233450129387,
9.6881673130556,-1.0038020046830505,-1.0020586694764115,0.0017433352066389,2932.130000897325,-1086.9006081879888,-183.8707549545978,-38784.63489109295
9.78414237551624,-1.0040898768342628,-0.9991960515667158,0.004893825267547,,,-516.1550934855992,
9.881228792015463,-1.0016754110233703,-1.000318581959439,0.0013568290639318,,,-143.1056880968491,
9.978747750050388,-1.003901011577797,-1.0013327411375574,0.0025682704402398,2931.1579681930525,-2058.93331246034,-270.8772374790972,-73470.35799530188
10.076776479487307,-1.001066159763141,-1.0001774986809016,0.0008886610822393,,,-93.72769130569664,
10.177830083994197,-1.0036503748655918,-1.001156902452332,0.0024934724132597,2930.954791283196,-2262.1102223170055,-262.9882384859151,-80720.46182975326
10.274373625055889,-1.002335794970136,-1.0007449976684153,0.0015907973017208,2930.885250246999,-2331.65125851383,-167.78247793841695,-83201.94328125284
10.371925438055769,-1.0040477282100488,-0.999953123274009,0.0040946049360398,,,-431.860779248393,
10.509996208536904,-1.0022540115525396,-1.000743198188924,0.0015108133636154,2930.972433162387,-2244.4683431258454,-159.34651735684656,-80090.93431079951
10.607075229519978,-1.003464032002377,-1.0015219236272628,0.0019421083751145,2931.7128364695504,-1504.0650359624124,-204.83549679720224,-53670.60505147061
10.703204813005868,-1.0013237737791325,-0.9992060742138332,0.0021176995652991,,,-223.3552195560009,
10.800728854548652,-1.002287923140773,-1.0002430240245228,0.0020448991162502,,,-215.67690647159176,
10.900007292046212,-1.0024473319484764,-1.0012262161284418,0.0012211158200345,2931.95485243783,-1262.0490676827103,-128.7919195698968,-45034.579920165226
10.995863708492834,-1.0039132311378858,-1.000009797685433,0.0039034334524528,,,-411.6977923029894,
11.09366587502882,-1.0018835727689583,-1.0001200252226214,0.0017635475463368,,,-186.0025642277124,
11.190710333525203,-1.0041778041348388,-1.0016334209232085,0.0025443832116303,2931.4778329256264,-1739.068579886407,-268.3578351624989,-62056.40093799625
11.287715563026724,-1.003321013333769,-1.0006146007375425,0.0027064125962268,,,-285.4471850231123,
11.417195667047054,-1.0037485274090427,-1.0014620551749218,0.0022864722341209,2931.463757844911,-1753.143660601836,-241.15578820956017,-62558.6518913016
11.514550438034348,-1.0032339565008483,-1.0007131084840195,0.0025208480168288,2928.8848908411373,-4332.0106643755025,-265.87556209208293,-154582.16758405304
11.614350125484634,-1.0034053303331298,-1.001446842472732,0.0019584878603977,2931.641321359036,-1575.580146477023,-206.5630522973272,-56222.528778083884
11.7208767090342,-1.0012223489427758,-1.0018140373325608,-0.0005916883897849,2933.927302588358,710.4010828452374,62.405778597887625,25349.738896846895
11.819614479551092,-1.0029763800075049,-0.9989966082246272,0.0039797717828775,,,-419.74924815250847,
11.91868056257954,-1.0032898572213222,-1.00036225999731,0.0029275972240121,,,-308.77567878629634,
12.021321063046344,-1.0036366943385395,-1.0008983793755606,0.0027383149629791,2930.0867116235268,-3130.189881986098,-288.81194943402227,-111696.75570889587
12.125041792052798,-1.002675834991201,-0.9996100040821034,0.0030658309090976,,,-323.3552799668476,
12.225271438073833,-1.0028439707062022,-1.0001896771314316,0.0026542935747706,,,-279.95015623246735,
12.367119438014925,-1.0028256686141015,-1.0013661267431002,0.0014595418710012,2931.893770740064,-1323.1307654486957,-153.93887801203522,-47214.20087955665
12.469920145988,-1.0032992494822783,-0.999865042519128,0.0034342069631503,,,-362.20815399124126,
12.56935785454698,-1.002191144363063,-1.0012395822944973,0.0009515620685653,2932.185803096528,-1031.0984089846895,-100.36190129531884,-36793.40597290499
12.6706022710423,-1.0038272221072662,-1.0006318831249794,0.0031953389822867,,,-337.0145849010356,
12.774196646059863,-1.0016028878039176,-0.9994095194638176,0.0021933683401,,,-231.33605691656297,
12.879544209048618,-1.004576012629749,-0.998690109996544,0.0058859026332048,,,-620.7901708374031,
12.984493375523016,-1.0019807089876462,-1.0000297498747397,0.0019509591129065,,,-205.76899015724095,
13.090667146025226,-1.001844935248151,-1.0007521811859477,0.0010927540622036,2931.475943036709,-1740.9584688039104,-115.25351729947872,-62123.83916656831
13.19374472956406,-1.001055272813637,-1.0015247504434155,-0.0004694776297784,2933.885937566223,669.0360607103685,49.51612626918587,23873.681869482174
13.334699958562853,-1.0049518719219448,-1.000426438739625,0.0045254331823201,,,-477.3005286423168,
13.448816500545943,-1.001926994277727,-1.0014595936052422,0.0004674006724847,2932.7233767659854,-493.52473952740183,-49.29706816502947,-17610.788592899007
13.56469627149636,-1.0034362978485991,-1.0020792495985045,0.0013570482500948,2932.333065155573,-883.8363499398838,-143.12880581116613,-31538.55088281058
13.679902625561226,-1.0031132914435843,-1.0005367984135731,0.0025764930300109,,,-271.74447963833876,
13.819252584013157,-1.0026648751076397,-1.000679058843512,0.0019858162641275,2930.102061396572,-3114.8401089408253,-209.44539770419885,-111149.01901730035
13.92644020851003,-1.0040737764351877,-1.0005961214163102,0.0034776550188775,,,-366.7906501041191,
14.033872208558025,-1.0033210046418044,-1.002310483119257,0.0010105215225473,2932.5845371021974,-632.3644033154778,-106.580395176518,-22565.101460015623
14.13751047954429,-1.0026091540824886,-1.0013189603733152,0.0012901937091733,2931.977266434454,-1239.6350710587285,-136.07761171805268,-44234.76559587241
14.267139792034868,-1.001962059618018,-1.0003777980360755,0.0015842615819423,,,-167.09315110943683,
14.37039493804332,-1.0038936027448115,-1.000458540868159,0.0034350618766525,,,-362.2983223022316,
14.472553500556389,-1.0034570595902963,-1.0014159779318232,0.002041081658473,2931.5641036620113,-1652.797843501503,-215.2742765924774,-58977.941889148686
14.577846229542049,-1.0018326684573156,-1.0013508407454892,0.0004818277118263,2932.672315073168,-544.5864323446585,-50.81869785816068,-19432.858704847935
14.683383437572047,-1.003287012620663,-1.0004379004609312,0.0028491121597318,,,-300.49780545079614,
14.788811542035546,-1.0022776699273066,-0.9999903577284592,0.0022873121988474,,,-241.24437986297133,
14.892311833507849,-1.0032814180110294,-1.0010681716240613,0.0022132463869681,2931.010646557021,-2206.2549484917326,-233.4326080965876,-78727.33901269385
14.995337312517222,-1.002297373713744,-1.0006904060256654,0.0016069676880785,2930.695740695703,-2521.1608098097713,-169.4879796320526,-89964.34519732269
15.116411750554107,-1.0011396916069817,-1.0004026526857135,0.0007370389212679,2930.9375433115233,-2279.3581939895375,-77.73599842903094,-81335.93327110824
15.232100542052647,-1.002764011763254,-1.0028198215240711,-5.580976081720479e-05,2933.2514478436933,34.546338180462044,5.886293591758879,1232.7411568820312
15.334897063032258,-1.0021046681804615,-0.9997872742577374,0.0023173939227243,,,-244.4171198262945,
15.44110279204324,-1.0020894475136777,-1.0015165778991466,0.0005728696145308,2932.648552567424,-568.3489380890023,-60.4209495186667,-20280.792823615553
15.548340354580432,-1.0029700895592488,-1.001106446353419,0.0018636432058298,2931.3345083451127,-1882.39316040017,-196.5597218004817,-67170.75222666892
15.653553438023664,-1.004010236198955,-1.0001552851554745,0.0038549510434802,,,-406.5843195148212,
15.761279417027254,-1.0024317449750253,-1.001692647123878,0.0007390978511472,2932.577338217688,-639.5632878247852,-77.95315516965977,-22821.984292919824
15.866056104539894,-1.004173259105418,-1.0017031184805707,0.0024701406248472,2931.570589590384,-1646.3119151289902,-260.52741882628186,-58746.499968919146
15.973161166999487,-1.0021691133496882,-1.0011484211319748,0.0010206922177133,2932.0554838582893,-1161.4176472235158,-107.65310534233996,-41443.678533525395
16.1097931250697,-1.0016945905332708,-1.0012844435485315,0.0004101469847392,2932.7206854579117,-496.2160476011377,-43.25848261384247,-17706.824421964662
16.220199917035643,-1.0026657405412167,-1.0001773804175609,0.0024883601236558,,,-262.4490418096649,
16.3281935005798,-1.0030182588122147,-1.0003357343430934,0.0026825244691213,,,-282.927687941533,
16.435570062545594,-1.0024918497320456,-1.000812951450173,0.0016788982818729,2930.9655467348753,-2251.3547706375903,-177.07454848865308,-80336.6675220379
16.53834920853842,-1.003197776215287,-1.0014766675081903,0.0017211087070965,2931.809561316248,-1407.340189264687,-181.52651086700195,-50219.10466973619
16.64296408352675,-1.0047134586153377,-1.0009724977980878,0.0037409608172498,,,-394.5616924981714,
16.745152792020235,-1.0040256482027967,-1.0020917305857209,0.001933917617076,2932.0540400688883,-1162.8614366245529,-203.97161195253753,-41495.19828092181
16.84787508350564,-1.003449813232755,-1.0004052597600035,0.0030445534727512,,,-321.1111342227541,
16.98016481299419,-1.0051588136283265,-1.001714349105734,0.0034444645225923,2931.1176064535516,-2099.295051961235,-363.2900257915813,-74910.61418645571
17.084038375585806,-1.002630812924319,-1.0005528276991222,0.002077985225197,,,-219.16652098025872,
17.187192562560085,-1.0024732570957269,-1.000251487970624,0.0022217691251027,,,-234.33150710873065,
17.28910179209197,-1.0024501557911922,-1.0005234699823256,0.0019266858088666,,,-203.20886820131747,
17.39503702154616,-1.0025301053402529,-0.999657051103206,0.0028730542370466,,,-303.0229926977986,
17.498796437575947,-1.002821401671424,-1.000201176885014,0.0026202247864097,,,-276.3568978548221,
17.60267695906805,-1.002157971364133,-0.999804158036846,0.0023538133272874,,,-248.25829930027757,
