file,sample,batch_kind,n,lockin_mean,shift_khz_mean,shift_nt_mean
twopoint_lockin_live_20260806_145051.csv,10,real,21,0.0006701620984693287,-18.11601939041477,-646.4465954330135
twopoint_lockin_live_20260806_145051.csv,11,stale,23,-0.0001042222777788217,5.213538510930801,186.038342525364
twopoint_lockin_live_20260806_145051.csv,11,real,21,-0.00017081807270498146,7.2198424878309355,257.63069111586265
twopoint_lockin_live_20260806_145051.csv,12,stale,23,0.0007012864291899711,-19.05368923236785,-679.9061244778708
twopoint_lockin_live_20260806_145051.csv,12,real,21,0.0014828775762434927,-42.60036253782339,-1520.1385433137095
twopoint_lockin_live_20260806_145051.csv,13,stale,23,0.0011063454397678262,-31.25673455531492,-1115.355929036359
twopoint_lockin_live_20260806_145051.csv,13,real,21,0.0013058574480155382,-37.26735033113876,-1329.836937308691
twopoint_lockin_live_20260806_145051.csv,14,stale,23,-0.0018610254543361823,58.14002138670121,2074.6510628997003
twopoint_lockin_live_20260806_145051.csv,14,real,21,-0.0025549052947653425,79.04425242542355,2820.591365451882
twopoint_lockin_live_20260806_145051.csv,15,stale,23,0.002085834830415356,-60.76540641615058,-2168.334513850649
twopoint_lockin_live_20260806_145051.csv,15,real,21,0.0014146290881655655,-40.54426855771586,-1446.7695032013937
twopoint_lockin_live_20260806_145144.csv,0,stale,7,-0.051212858524685836,1544.9072968943626,55128.008025062896
twopoint_lockin_live_20260806_145144.csv,0,real,7,0.004436942462186657,-131.63124667969367,-4697.089875809795
twopoint_lockin_live_20260806_145144.csv,1,stale,7,-0.004341688027746686,132.8389241954825,4740.184277600717
twopoint_lockin_live_20260806_145144.csv,1,real,7,-0.004341688027746686,132.8389241954825,4740.184277600717
twopoint_lockin_live_20260806_145144.csv,2,stale,7,0.0015177749977947571,-43.68669553287371,-1558.9029236680599
twopoint_lockin_live_20260806_145144.csv,2,real,7,0.0015177749977947571,-43.68669553287371,-1558.9029236680599
twopoint_lockin_live_20260806_145144.csv,3,stale,7,0.0007707003130600998,-21.179885415412247,-755.7766705471113
twopoint_lockin_live_20260806_145144.csv,3,real,7,0.0007707003130600998,-21.179885415412247,-755.7766705471113
twopoint_lockin_live_20260806_145144.csv,4,stale,7,-0.0008684500610115715,28.202120128386895,1006.3559851693867
twopoint_lockin_live_20260806_145144.csv,4,real,7,-0.0008684500610115715,28.202120128386895,1006.3559851693867
twopoint_lockin_live_20260806_145144.csv,5,stale,7,-0.0017568315773236142,54.966022731511835,1961.3910480842076
twopoint_lockin_live_20260806_145144.csv,5,real,7,-0.0017568315773236142,54.966022731511835,1961.3910480842076
twopoint_lockin_live_20260806_145144.csv,6,stale,7,0.0002844424507015145,-6.530595859956784,-233.03582143722466
twopoint_lockin_live_20260806_145144.csv,6,real,7,0.0002844424507015145,-6.530595859956784,-233.03582143722466
twopoint_lockin_live_20260806_145144.csv,7,stale,7,-0.001627606499254128,51.072912238072114,1822.4704623919538
