batch,sample,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_01_ref,peak_01_ref_raw,peak_01_spike_ref,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,peak_02_ref,peak_02_ref_raw,peak_02_spike_ref,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
510,0,7.884591125475708,1785874183.50964,0.010838833055458963,-5282.805165111609,2806.827483148631,-5282.805165111609,False,-5285.897698444235,-5285.897698444235,False,-5276.340322342725,2812.827480859813,-5276.340322342725,False,-5283.278091033647,-5283.278091033647,False,-0.9994149464274468,-0.9986868439307225,0.0007281024967242811,-0.11435174458062905,-114.35174458062905,2809.830145216665,-4.080493312183451
511,0,7.89995154197095,1785874183.529398,0.01965316606219858,-5282.953735659297,2806.827483148631,-5282.953735659297,False,-5290.592512734373,-5290.592512734373,False,-5284.357787667891,2812.827480859813,-5284.357787667891,False,-5277.472989710176,-5277.472989710176,False,-0.9985561584913809,-1.0013045633717383,-0.0027484048803574357,0.27477897502286547,274.7789750228655,2810.219275936269,9.805130424738277
512,0,7.915449979482219,1785874183.540647,0.011164708994328976,-5281.50506517686,2806.827483148631,-5281.50506517686,False,-5290.592512734373,-5290.592512734373,False,-5284.357787667891,2812.827480859813,-5284.357787667891,False,-5277.472989710176,-5277.472989710176,False,-0.9982823384081009,-1.0013045633717383,-0.0030222249636374654,0.3054280703623638,305.4280703623638,2810.249925031608,10.89880353848001
513,0,7.930920708458871,1785874183.560365,0.019636583048850298,-5281.723008647279,2806.827483148631,-5281.723008647279,False,-5292.142057512981,-5292.142057512981,False,-5286.161706252964,2812.827480859813,-5286.161706252964,False,-5281.416678073227,-5281.416678073227,False,-0.9980312227539487,-1.0008984385192399,-0.0028672157652911423,0.2880776567560797,288.0776567560797,2810.232574618002,10.279676589925767
514,0,7.945935583964456,1785874183.5706549,0.01019125001039356,-5280.546403877255,2806.827483148631,-5280.546403877255,False,-5292.142057512981,-5292.142057512981,False,-5286.161706252964,2812.827480859813,-5286.161706252964,False,-5281.416678073227,-5281.416678073227,False,-0.9978088922198782,-1.0008984385192399,-0.003089546299361645,0.3129634491128064,312.96344911280636,2810.257460410359,11.167693730830944
515,0,7.961209916975349,1785874183.590912,0.02016875008121133,-5290.313951263204,2806.827483148631,-5290.313951263204,False,-5286.022683992234,-5286.022683992234,False,-5278.279157491585,2812.827480859813,-5278.279157491585,False,-5286.919609005291,-5286.919609005291,False,-1.000811814009797,-0.9983656926617555,0.0024461213480415633,-0.3066521885010588,-306.6521885010588,2809.6378447727448,-10.942484602521366
516,0,7.976557021494955,1785874183.601353,0.010354124940931797,-5288.6501227257195,2806.827483148631,-5288.6501227257195,False,-5286.022683992234,-5286.022683992234,False,-5278.279157491585,2812.827480859813,-5278.279157491585,False,-5286.919609005291,-5286.919609005291,False,-1.0004970540027083,-0.9983656926617555,0.00213136134095282,-0.27142062567789593,-271.42062567789594,2809.673076335568,-9.685292095271764
517,0,7.991453521011863,1785874183.620702,0.019273958052508533,-5288.075937785302,2806.827483148631,-5288.075937785302,False,-5284.865090745273,-5284.865090745273,False,-5286.376322108836,2812.827480859813,-5286.376322108836,False,-5277.62722344852,-5277.62722344852,False,-1.0006075551570184,-1.0016577712464123,-0.0010502160893939294,0.0846981396975778,84.6981396975778,2810.0291951009435,3.0223429809298388
518,0,8.006235687469598,1785874183.63094,0.010180374956689775,-5289.0892688417525,2806.827483148631,-5289.0892688417525,False,-5284.865090745273,-5284.865090745273,False,-5286.376322108836,2812.827480859813,-5286.376322108836,False,-5277.62722344852,-5277.62722344852,False,-1.000799297242966,-1.0016577712464123,-0.0008584740034462968,0.06323615852217483,63.23615852217483,2810.007733119768,2.256500090000529
519,0,8.021211062965449,1785874183.650645,0.01964195806067437,-5286.995650446318,2806.827483148631,-5286.995650446318,False,-5277.125346349658,-5277.125346349658,False,-5286.863106003926,2812.827480859813,-5286.863106003926,False,-5277.739048706231,-5277.739048706231,False,-1.0018703940969467,-1.0017287814371822,0.00014161265976442294,-0.0487050516379259,-48.7050516379259,2809.895791909608,-1.7379764358380638
