batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
1155,12.048585874435958,1785872557.136606,0.009705332922749221,-5277.124247333191,2806.913354404411,-5277.124247333191,False,-5275.295403001499,2813.913351734123,-5275.295403001499,False,-1.0081614664718268,-1.0078120772406902,0.0003493892311365876,-0.06869811954144586,-68.69811954144586,2810.442243249315,-2.4514030667087447
1156,12.05871989543084,1785872557.1470358,0.01034579100087285,-5269.655301525201,2806.913354404411,-5269.655301525201,False,-5279.041339364855,2813.913351734123,-5279.041339364855,False,-1.0067345712527902,-1.008527714872171,-0.001793143619380766,0.15618167263447255,156.18167263447256,2810.667123041491,5.573139902743097
1157,12.069601707917172,1785872557.158408,0.011331749963574111,-5272.946327597274,2806.913354404411,-5272.946327597274,False,-5276.158753858851,2813.913351734123,-5276.158753858851,False,-1.007363301128289,-1.0079770150033112,-0.0006137138750221816,0.03238897758505454,32.38897758505454,2810.5433303464415,1.1557585492811353
1158,12.080786416481715,1785872557.169457,0.010969166993163526,-5270.087170278448,2806.913354404411,-5270.087170278448,False,-5278.658246477366,2813.913351734123,-5278.658246477366,False,-1.0068170770675464,-1.0084545273804342,-0.001637450312887756,0.13984013630802822,139.8401363080282,2810.6507815051646,4.990013428062668
1159,12.09177112445468,1785872557.18029,0.010749417007900774,-5275.236184552374,2806.913354404411,-5275.236184552374,False,-5276.077942659778,2813.913351734123,-5276.077942659778,False,-1.0078007639276594,-1.0079615765309262,-0.00016081260326683555,-0.015147443545645147,-15.147443545645148,2810.495793925311,-0.5405168264931897
1160,12.102455082931556,1785872557.190867,0.010528916027396917,-5275.934298682641,2806.913354404411,-5275.934298682641,False,-5275.429281413331,2813.913351734123,-5275.429281413331,False,-1.0079341342506514,-1.0078376538710054,9.64803796459357e-05,-0.042152860294226054,-42.15286029422605,2810.4687885085623,-1.5041700076443782
1161,12.112783041433431,1785872557.200945,0.010029833065345883,-5274.58864351866,2806.913354404411,-5274.58864351866,False,-5270.473877494881,2813.913351734123,-5270.473877494881,False,-1.0076770552773506,-1.0068909550541434,0.0007861002232072423,-0.11453521236085071,-114.53521236085071,2810.3964061564957,-4.087040121354935
1162,12.123100541415624,1785872557.211533,0.010498916963115335,-5268.819142953205,2806.913354404411,-5268.819142953205,False,-5271.90274780695,2813.913351734123,-5271.90274780695,False,-1.0065748284056186,-1.0071639317592003,-0.0005891033535816437,0.029805862490435216,29.805862490435217,2810.540747231347,1.0635834459904088
1163,12.133825499447994,1785872557.222307,0.010676332982257009,-5268.846552251124,2806.913354404411,-5268.846552251124,False,-5276.278158144084,2813.913351734123,-5276.278158144084,False,-1.0065800647799563,-1.007999826442584,-0.0014197616626276943,0.1169915818890292,116.99158188902919,2810.6279329507456,4.174692473916258
1164,12.144488353922497,1785872557.232909,0.010558792040683329,-5270.0697267475625,2806.913354404411,-5270.0697267475625,False,-5273.260323379282,2813.913351734123,-5273.260323379282,False,-1.0068137445904521,-1.0074232880517,-0.0006095434612478634,0.031951251842539184,31.951251842539182,2810.542892620699,1.1401388753403934
1165,12.154818666458596,1785872557.242975,0.010031666955910623,-5279.970269278969,2806.913354404411,-5279.970269278969,False,-5287.554616865849,2813.913351734123,-5287.554616865849,False,-1.0087051811019903,-1.010154123106584,-0.0014489420045937784,0.12005434437380075,120.05434437380075,2810.6309957132303,4.283983170632342
1166,12.164992562436964,1785872557.253439,0.010242875083349645,-5272.093349023444,2806.913354404411,-5272.093349023444,False,-5271.672628908518,2813.913351734123,-5271.672628908518,False,-1.007200344925335,-1.0071199689879575,8.037593737753035e-05,-0.04046254145988305,-40.462541459883056,2810.4704788273966,-1.443853177986121
1167,12.17565556243062,1785872557.264051,0.010501374956220388,-5275.006574563682,2806.913354404411,-5275.006574563682,False,-5275.22514594859,2813.913351734123,-5275.22514594859,False,-1.0077568983804284,-1.0077986550716884,-4.17566912600531e-05,-0.027643526741258587,-27.643526741258587,2810.483297842115,-0.986423306496524
1168,12.18640120793134,1785872557.2749891,0.010895166080445051,-5274.70422868845,2806.913354404411,-5274.70422868845,False,-5277.745887459119,2813.913351734123,-5277.745887459119,False,-1.0076991370985882,-1.0082802269162658,-0.0005810898176776824,0.028964763466799746,28.964763466799745,2810.5399061323233,1.0335699210248268
